Key,English,Russian,Test,Description
NewCandidateResolve.Yes.1,Allow,Разрешаю,Yes.1,
NewCandidateResolve.Big.Yes.1,,Я рад что вы с нами,Big.Yes.1,
NewCandidateResolve.Big.Yes.2,,Уверен вместе мы построим лучшее,Big.Yes.2,
NewCandidateResolve.Big.Yes.3,,Мы вас ждали,Big.Yes.3,
NewCandidateResolve.No.1,,Нет,No.1,
NewCandidateResolve.Big.No.1,,Мы вам перезвоним,Big.No.1,
NewCandidateResolve.Big.No.2,,С вами мы разоримся,Big.No.2,
NewCandidateResolve.Big.No.3,,Вам только дорога в ад,Big.No.3,
CreateNewCompanyResolve.Yes.1,,Разрешаю,Yes.1,
CreateNewCompanyResolve.Big.Yes.1,,Отличная идея для развития,Big.Yes.1,
CreateNewCompanyResolve.Big.Yes.2,,Всегда рады новым предпринимателям,Big.Yes.2,
CreateNewCompanyResolve.Big.Yes.3,,Ваша компания будет лучшей,Big.Yes.3,
CreateNewCompanyResolve.No.1,,Нет,No.1,
CreateNewCompanyResolve.Big.No.1,,Такое предприятие вредно для нас,Big.No.1,
CreateNewCompanyResolve.Big.No.2,,Отстойный бизнес план,Big.No.2,
CreateNewCompanyResolve.Big.No.3,,Вы будете признаны экстремистами,Big.No.3,
CreateNewCompanyResolve.Require.1,,Можем договориться,Require.1,
CreateNewCompanyResolve.Big.Require.1,,Вы что не вкурсе как тут все работает?,Big.Require.1,
CreateNewCompanyResolve.Big.Require.2,,Родина требует что то взамен,Big.Require.2,
CreateNewCompanyResolve.Big.Require.3,,Гоните долю или мы за себя не отвечаем,Big.Require.3,
CreateNewCompanyResolve.Invest.1,,Помощь от гос-ва (<Data> руб),Invest.1 (<Data>%),
CreateNewCompanyResolve.Big.Invest.1,,Я готов купить почти всю долю за (<Data> руб),Big.Invest.1 (<Data>%),
CreateNewCompanyResolve.Big.Invest.2,,Как вам такое: (<Data> руб),Big.Invest.2 (<Data>%),
CreateNewCompanyResolve.Big.Invest.3,,Очень интересный план для <Data> рублей,Big.Invest.3 (<Data>%),
CreateNewCompanyResolve.Help.Yes.1,,Хорошо (<Data> руб),Help.Yes.1 (<Data>%),
CreateNewCompanyResolve.Help.Big.Yes.1,,Всегда вам рады! Выписываю вам счет:<Data> рублей,Help.Big.Yes.1 (<Data>%),
CreateNewCompanyResolve.Help.Big.Yes.2,,Вам точно хватит? Можем дать <Data> рублей,Help.Big.Yes.2 (<Data>%),
CreateNewCompanyResolve.Help.Big.Yes.3,,Это как раз входит в планы города. Держите лучше <Data> рублей,Help.Big.Yes.3 (<Data>%),
CreateNewCompanyResolve.Help.No.1,,Трудные времена. Извините,Help.No.1,
CreateNewCompanyResolve.Help.Big.No.1,,Вам ещё и деньги подавай?,Help.Big.No.1,
CreateNewCompanyResolve.Help.Big.No.2,,Денег нет! Но вы держитесь,Help.Big.No.2,
CreateNewCompanyResolve.Help.Big.No.3,,Нет! для вас точно денег нет,Help.Big.No.3,
CreateNewCompanyResolve.Help.Require.1,,За это компания будет принадлежать нам! (<Data> руб),Help.Require.1 (<Data>%),
CreateNewCompanyResolve.Help.Big.Require.1,,"Денег нет, но партия должна быть в деле. Иначе будете иметь дело с нашей <Data>",Help.Big.Require.1 (<Data>%),
CreateNewCompanyResolve.Help.Big.Require.2,,"Вы и так нам должны, какие ещё деньги. Так что мы в доле. Или вами займутся <Data>",Help.Big.Require.2 (<Data>%),
CreateNewCompanyResolve.Help.Big.Require.3,,"Будете нам платить за доход, и тогда подумаем. Либо будут проблемы с <Data>",Help.Big.Require.3 (<Data>%),
CreateNewCompanyResolve.Help.Invest.1,,Могу ещё купить долю: <Data> руб,Help.Invest.1 (<Data>%),
CreateNewCompanyResolve.Help.Big.Invest.1,,Давайте я лучше все куплю (<Data> руб),Help.Big.Invest.1 (<Data>%),
CreateNewCompanyResolve.Help.Big.Invest.2,,"Мы в деле, можем все оплатить (<Data> руб)",Help.Big.Invest.2 (<Data>%),
CreateNewCompanyResolve.Help.Big.Invest.3,,Хоршо финансы полностью на мне (<Data> руб),Help.Big.Invest.3 (<Data>%),
